title,url,comments
JO1大平祥生　活動休止を発表「規定に反する事案発覚」「見つめ直す期間が必要と判断」,https://girlschannel.net/topics/5886093/,4400コメント
timelesz原嘉孝＆篠塚大輝「ヒルマイルド」新CMに2人で出演「ドッキリだと思ってます」,https://girlschannel.net/topics/5885883/,3308コメント
高市氏、公明離脱を陳謝　自民議員に「私の責任」,https://girlschannel.net/topics/5885544/,1977コメント
Snow Man、新曲またも“歌割り格差”にファンもやもや“先輩グループ”との違いで“令和の国民的アイドル”への試練,https://girlschannel.net/topics/5886155/,1816コメント
「批判してた人、どこいった？」　前評判は最悪だった「大阪・関西万博」が、結局“大成功で終わった”ワケ…「東京五輪」とは何が違ったのか,https://girlschannel.net/topics/5886487/,1731コメント
